id,time,lat,long
272741,2012-01-03T16:00:19,-3.12512,48.1088
272736,2012-01-03T16:00:19,-63.2465,125.157
272739,2012-01-03T16:00:19,-28.2545,166.914
272742,2012-01-03T16:00:19,5.81721,89.0578
272737,2012-01-03T16:00:19,-39.9,162.927
272738,2012-01-03T16:00:19,-25.4314,30.2603
272740,2012-01-03T16:00:19,2.31707,70.1429
272747,2012-01-03T18:00:19,2.10416,70.036
272743,2012-01-03T18:00:19,-61.5953,125.885
272750,2012-01-03T18:00:19,15.5463,90.7282
272744,2012-01-03T18:00:19,-78.9753,20.7706
272745,2012-01-03T18:00:19,-26.1915,29.7109
272749,2012-01-03T18:00:19,1.5808,89.4118
272746,2012-01-03T18:00:19,-27.7194,167.062
272748,2012-01-03T18:00:19,-3.70016,45.9179
272757,2012-01-03T20:00:27,1.10942,89.1933
272755,2012-01-03T20:00:27,1.54262,70.5409
272754,2012-01-03T20:00:27,-26.2686,30.8392
272752,2012-01-03T20:00:27,-79.4434,16.3451
272751,2012-01-03T20:00:27,-61.3303,128.314
272758,2012-01-03T20:00:27,14.6966,91.8386
272753,2012-01-03T20:00:27,-40.2244,162.17
272756,2012-01-03T20:00:27,-3.90929,46.4139
272759,2012-01-03T22:00:19,-62.0147,125.633
272765,2012-01-03T22:00:19,15.1905,91.2009
272764,2012-01-03T22:00:19,2.08744,89.6586
272763,2012-01-03T22:00:19,-4.57182,44.258
272762,2012-01-03T22:00:19,1.73521,69.9677
272761,2012-01-03T22:00:19,-26.1406,30.0566
272760,2012-01-03T22:00:19,-79.3213,23.0876
272766,2012-01-04T00:00:19,-79.9554,78.524
272769,2012-01-04T00:00:19,-26.422,29.7045
272768,2012-01-04T00:00:19,-79.5582,22.9993
272767,2012-01-04T00:00:19,-60.7164,130.271
272773,2012-01-04T00:00:19,15.5328,91.2741
272772,2012-01-04T00:00:19,1.65769,89.2446
272771,2012-01-04T00:00:19,-4.42947,44.5268
272770,2012-01-04T00:00:19,1.92123,70.0296
233189,2012-01-04T01:00:31,-21.9821,133.283
233190,2012-01-04T01:00:31,0.600634,30.7554
233191,2012-01-04T01:00:31,45.4234,26.1625
233192,2012-01-04T01:00:31,31.1101,94.0798
233193,2012-01-04T01:00:31,40.0242,77.9368
233188,2012-01-04T01:00:31,-26.8713,51.665
233185,2012-01-04T01:00:31,-5.5808,88.3911
233186,2012-01-04T01:00:31,-44.928,95.2434
233187,2012-01-04T01:00:31,-39.6523,132.282
233195,2012-01-04T01:00:31,80.4021,91.4355
233194,2012-01-04T01:00:31,52.6909,132.883
233184,2012-01-04T01:00:31,-45.8005,154.088
272774,2012-01-04T04:00:19,-63.9204,120.773
272778,2012-01-04T04:00:19,5.05987,90.1095
272775,2012-01-04T04:00:19,-26.4297,29.9772
272776,2012-01-04T04:00:19,0.917753,69.7505
272777,2012-01-04T04:00:19,-4.72142,43.1923
272781,2012-01-04T06:00:19,0.335337,69.5857
272782,2012-01-04T06:00:19,-5.18164,43.6957
272783,2012-01-04T06:00:19,-0.296551,88.9318
272784,2012-01-04T06:00:19,13.413,92.3595
272779,2012-01-04T06:00:19,-66.8928,119.716
272780,2012-01-04T06:00:19,-25.5921,30.5505
